de,a,ciudad,tipo
2019-09-03T14:06:00Z,2019-09-03T14:10:00Z,Europe/Amsterdam,Walking
2019-09-04T18:14:00Z,2019-09-04T18:21:00Z,Europe/Amsterdam,Walking
2019-09-16T10:50:00Z,2019-09-16T10:57:00Z,Europe/Madrid,Walking
2019-09-16T17:41:00Z,2019-09-16T17:59:00Z,Europe/Madrid,Walking
2019-09-16T18:59:00Z,2019-09-16T19:16:00Z,Europe/Madrid,Walking
2019-09-17T08:00:00Z,2019-09-17T08:10:00Z,Europe/Madrid,Other
2019-09-17T08:00:00Z,2019-09-17T08:10:00Z,Europe/Madrid,Other
2019-09-17T09:15:00Z,2019-09-17T09:22:00Z,Europe/Madrid,Running
2019-09-17T09:29:00Z,2019-09-17T09:34:00Z,Europe/Madrid,Running
2019-09-17T12:12:00Z,2019-09-17T12:20:00Z,Europe/Madrid,Walking
2019-09-17T14:53:00Z,2019-09-17T15:02:00Z,Europe/Madrid,Walking
2019-09-18T09:00:00Z,2019-09-18T09:10:00Z,Europe/Madrid,Walking
2019-09-18T11:55:00Z,2019-09-18T12:06:00Z,Europe/Madrid,Walking
2019-09-18T13:46:00Z,2019-09-18T13:51:00Z,Europe/Madrid,Walking
2019-09-18T17:29:00Z,2019-09-18T17:47:00Z,Europe/Madrid,Walking
2019-09-20T07:00:00Z,2019-09-20T07:20:00Z,Europe/Amsterdam,Pilates
2019-09-20T08:30:00Z,2019-09-20T08:45:00Z,Europe/Amsterdam,Cycling
2019-09-20T09:52:00Z,2019-09-20T10:21:00Z,Europe/Amsterdam,Walking
2019-09-20T13:56:00Z,2019-09-20T14:29:00Z,Europe/Amsterdam,Walking
2019-09-20T15:00:00Z,2019-09-20T15:20:00Z,Europe/Amsterdam,Cycling
2019-09-21T09:38:00Z,2019-09-21T09:56:00Z,Europe/Madrid,Running
2019-09-21T09:57:00Z,2019-09-21T10:06:00Z,Europe/Madrid,Walking
2019-09-21T14:56:00Z,2019-09-21T15:00:00Z,Europe/Madrid,Walking
2019-09-23T13:37:00Z,2019-09-23T13:49:00Z,Europe/Madrid,Walking
2019-09-25T08:55:00Z,2019-09-25T09:08:00Z,Europe/Amsterdam,Walking
2019-09-25T18:58:00Z,2019-09-25T19:11:00Z,Europe/Amsterdam,Walking
2019-09-28T08:15:00Z,2019-09-28T08:32:00Z,Europe/Amsterdam,Running
2019-09-28T08:33:00Z,2019-09-28T08:42:00Z,Europe/Amsterdam,Walking
